"","chungcheong","seoul"
"995","잘 때만 (()) 불을 끄구 눈에 편안한 느낌을 줄 수 있는 환경을 만들어 져서 자는 걸 추천 혀.","잘 때만 (()) 불을 끄구 눈에 편안한 느낌을 줄 수 있는 환경을 만들어 져서 자는 걸 추천 해."
"996","아~ 그게 진짜 안 좋았다니 안 ((좋았다니)) 진짜 몰랐어.","아~ 그게 진짜 안 좋았다니 안 ((좋았다니)) 진짜 몰랐어."
"997","그래 가주구 내가 열한 시에 잘려고 노력을 해 가주구 불을 꺼서 이렇게 딱 했는데","그래 가지고 내가 열한 시에 자려고 노력을 해 가지고 불을 꺼서 이렇게 딱 했는데"
"998","아니 잠이 계속 안 와 가주구 새벽 여섯 시까지 불 끄고서 핸드폰 한 적이 진짜 많거든","아니 잠이 계속 안 와 가지고 새벽 여섯 시까지 불 끄고서 핸드폰 한 적이 진짜 많거든"
"999","그래 가주구 이제 앞으로라 앞으로는 뭐~ 불을 끄 갑자기 잠들면은","그래 가지고 이제 앞으로라 앞으로는 뭐~ 불을 끄 갑자기 잠들면은"
"1000","불을 못 끄니까 약간 우리집에 약간 시간을 조절할 수 있는 그런","불을 못 끄니까 약간 우리집에 약간 시간을 조절할 수 있는 그런"
"1001","스탠드 같은 게 (()) 시간 조절을 할 수 있으니까 그거를 약간 어둡게라도 약간","스탠드 같은 게 (()) 시간 조절을 할 수 있으니까 그거를 약간 어둡게라도 약간"
"1002","어둡게 켜놔 가주구 이제 밤에 절대 눈 나뻐지지 않게 쫌 해야겠어 나두","어둡게 켜놔 가지고 이제 밤에 절대 눈 나빠지지 않게 조금 해야겠어 나두"
"1003","우리도 이제 앞자리 수가 바뀌지만 사람들은 이제 젊을 때다 이제 시작이다 라고 하겠지만은","우리도 이제 앞자리 수가 바뀌지만 사람들은 이제 젊을 때다 이제 시작이다 라고 하겠지만은"
"1004","그래도 우리도 진짜 더이상 늦지않게 나는 뭐든지 빨리 하는 게 좋다고 생각하기 때문에","그래도 우리도 진짜 더이상 늦지않게 나는 뭐든지 빨리 하는 게 좋다고 생각하기 때문에"
"1005","어떻게든 진짜 젊었을 때 해야 된다고 생각 혀.","어떻게든 진짜 젊었을 때 해야 된다고 생각 해."
"1006","왜냐 우리는 지금 진짜 시간이 많이 남을 때잖어.","왜냐하면 우리는 지금 진짜 시간이 많이 남을 때잖어."
"1007","-그- 그러니까 지금부터라도 건강 관리를 해야 한다고 생각 혀.","-그- 그러니까 지금부터라도 건강 관리를 해야 한다고 생각 해."
"1008","그래야지 나중에 나중에 나한테 진짜 도움이 될 것 같은 거 같어.","그래야지 나중에 나중에 나한테 진짜 도움이 될 것 같은 거 같아."
"1009","그럼 우리 진짜 이제 시간을 내서 진짜 죽어라 진짜 패턴을 바꿔보자.","그럼 우리 진짜 이제 시간을 내서 진짜 죽어라 진짜 패턴을 바꿔보자."
"1010","나 내가 요즘 해보고 싶은 게 있는디 그~ 유투브에 본 건데","나 내가 요즘 해보고 싶은 게 있는데 그~ 유투브에 본 건데"
"1011","미라클 모닝이라는 그~ 책이 있는디 그 책이 약간 새벽 다섯 시에","미라클 모닝이라는 그~ 책이 있는데 그 책이 약간 새벽 다섯 시에"
"1012","심장이 가장 뼐리 뗘 가주구","심장이 가장 뼐리 뛰어 가지고"
"1013","그때 혀 그때 활동을 하는 게 가장 도움이 된다는 거야.","그때 혀 그때 활동을 하는 게 가장 도움이 된다는 거야."
"1014","그래서 그걸 보고서 음~ 새벽 다섯 시 어떻게 일어나지 했는데 그 사람이 열 한 시에 자고 딱 다섯 시에 일어나는디","그래서 그걸 보고서 음~ 새벽 다섯 시 어떻게 일어나지 했는데 그 사람이 열 한 시에 자고 딱 다섯 시에 일어나는데"
"1015","진짜 하루를 알차게 사는 거여.","진짜 하루를 알차게 사는 거야."
"1016","와 그 사람이 통역 하시는 분인디 진짜 무슨","와 그 사람이 통역 하시는 분인데 진짜 무슨"
"1017","하루 진짜 유노윤호보다 더 유노윤호처럼 (()) 유노윤호라는 말을 쓰면 안 되고","하루 진짜 유노윤호보다 더 유노윤호처럼 (()) 유노윤호라는 말을 쓰면 안 되고"
"1018","그 사람 이름을 써야 될 정도로 진짜 하루를 알차게 사시는 거여.","그 사람 이름을 써야 될 정도로 진짜 하루를 알차게 사시는 거야."
"1019","아침에 일어나자마자 독서하고 막 일기 쓰고 운동 하고 밥 먹고 공부 하고","아침에 일어나자마자 독서하고 막 일기 쓰고 운동 하고 밥 먹고 공부 하고"
"1020","진짜 다섯 시에 일어나니까 하루가 거의 사십팔 시간 마냥 활용 할 수 있더라고?","진짜 다섯 시에 일어나니까 하루가 거의 사십팔 시간 마냥 활용 할 수 있더라고?"
"1021","그래서 내가 진짜 지금 시간이 많을때 ((차피)) 다섯 시에 일어나서 넷플릭스 보면 되는데","그래서 내가 진짜 지금 시간이 많을때 ((차피)) 다섯 시에 일어나서 넷플릭스 보면 되는데"
"1022","((그냥)) 다섯 시에 일어나 볼까 라는 생각을 요즘 하고 있어.","((그냥)) 다섯 시에 일어나 볼까 라는 생각을 요즘 하고 있어."
"1023","니가 말한 그 분을 지금 얘기를 들어보니까 너무 동경스러워.","네가 말한 그 분을 지금 얘기를 들어보니까 너무 동경스러워."
"1024","왜냐면은 나는 지금 하루에 열두 시간씩 자고 있기 때문에 내 하루는 열두 시간이 전부여.","왜냐하면은 나는 지금 하루에 열두 시간씩 자고 있기 때문에 내 하루는 열두 시간이 전부야."
"1025","근데 그 안에 밥 먹고 핸드폰 하는 게 또 전부니까","근데 그 안에 밥 먹고 핸드폰 하는 게 또 전부니까"
"1026","난 진짜 하루 하루를 진짜 허투루 보내고 있단 말이여.","난 진짜 하루 하루를 진짜 허투루 보내고 있단 말이야."
"1027","그래서 지금 얼마 이천이십 년도 얼마 남지 않았으니까","그래서 지금 얼마 이천이십 년도 얼마 남지 않았으니까"
"1028","우리 이천이십 년 동안 진짜 다사다난한 일이 너무 많았잖어.","우리 이천이십 년 동안 진짜 다사다난한 일이 너무 많았잖어."
"1029","그러니까 어띃게든 지금 ((진짜)) 그~ 끽해봐야 이 주 정도 남았지만","그러니까 어떻게든 지금 ((진짜)) 그~ 끽해봐야 이 주 정도 남았지만"
"1030","이 주라도 진짜 알차게 보내고 싶은 생각이 드는 거여.","이 주라도 진짜 알차게 보내고 싶은 생각이 드는 거야."
"1031","그래서 나도 진짜 일찍 쫌 일어나고 새벽 다섯 시가 아니더라도 일어나서 오히려","그래서 나도 진짜 일찍 조금 일어나고 새벽 다섯 시가 아니더라도 일어나서 오히려"
"1032","진짜 너 말대로 할 수 있다면 새벽 다섯 시에 일어나서 영화를 본 다음에 해가 뜨면은","진짜 너 말대로 할 수 있다면 새벽 다섯 시에 일어나서 영화를 본 다음에 해가 뜨면은"
"1033","그때 너랑 이제 운동을 시작하고 그르구 밥 먹고 졸리면 그~ 또 자면 되니까","그때 너랑 이제 운동을 시작하고 그리고 밥 먹고 졸리면 그~ 또 자면 되니까"
"1034","새벽 다섯 시에 일어나 보는 경험을 한 번 해보고 싶다는 생각이 들어.","새벽 다섯 시에 일어나 보는 경험을 한 번 해보고 싶다는 생각이 들어."
"1035","왜냐면 지금 나와는 정말 정반대의 삶을 살고 계시는 분이 계시니까","왜냐하면 지금 나와는 정말 정반대의 삶을 살고 계시는 분이 계시니까"
"1036","나도 한 번 해봐도 괜찮을 것 같다고 생각해.","나도 한 번 해봐도 괜찮을 것 같다고 생각해."
"1037","하루라도 그릏게 알찬 삶을 살 수 있다면 난 진짜 정말 뿌듯할 거 같아서","하루라도 그렇게 알찬 삶을 살 수 있다면 난 진짜 정말 뿌듯할 거 같아서"
"1038","그 다음 날도 그 다음 날도 그릏게 (()) 할 수 있다는 원동력을 받을 거 같어.","그 다음 날도 그 다음 날도 그렇게 (()) 할 수 있다는 원동력을 받을 거 같아."
"1039","우리가 물론 백오십 살까지 산다고들 하지만 그래도 우리 지금 시간이 너무 아깝잖아.","우리가 물론 백오십 살까지 산다고들 하지만 그래도 우리 지금 시간이 너무 아깝잖아."
"1040","난 요즘따라 시간이 나이 먹는 게 너무 아깝드라구","난 요즘따라 시간이 나이 먹는 게 너무 아깝더라고"
"1041","그르구 우리가 스무 살이 돼 가주구 아~ 쫌 두렵기도 하고 그런 마음이 있잖어?","그리고 우리가 스무 살이 돼 가지고 아~ 조금 두렵기도 하고 그런 마음이 있잖어?"
"1042","그니까 우리 이제 진짜 남은 얼마 안 남은 십 대에 마지막을","그러니까 우리 이제 진짜 남은 얼마 안 남은 십 대의 마지막을"
"1043","진짜 열심히 살았다 라고 생각할 수 있게 한 번 도전해 보자.","진짜 열심히 살았다 라고 생각할 수 있게 한 번 도전해 보자."
"1044","우리가 습관을 개선해 가주고 이제 앞으로 남은 삶들을 더 알차게 살 수 있는 거잖어?","우리가 습관을 개선해 가지고 이제 앞으로 남은 삶들을 더 알차게 살 수 있는 거잖어?"
"1045","그러니까 우리 음~ 아~ 쫌 힘들겠는디 아~ 쫌 못 하겠는디 이런 생각 하지 말구 어~","그러니까 우리 음~ 아~ 조금 힘들겠는데 아~ 조금 못 하겠는데 이런 생각 하지 말구 어~"
"1046","진짜 쪼금이라 이릏게 쪼금씩 줄여 나가면 되는 거잖어.","진짜 쪼금이라 이렇게 쪼금씩 줄여 나가면 되는 거잖어."
"1047","내가 울 물론 오늘 열 시에 일어났지만 내일은 아홉 시 내일은 여덟 시 내일은 일곱 시 이렇게 해서 천천히 줄여 나가서","내가 울 물론 오늘 열 시에 일어났지만 내일은 아홉 시 내일은 여덟 시 내일은 일곱 시 이렇게 해서 천천히 줄여 나가서"
"1048","우리가 다섯 시에 일어나면은 그게 아주 좋은 삶이라고 할 수 있지 않을까?","우리가 다섯 시에 일어나면은 그게 아주 좋은 삶이라고 할 수 있지 않을까?"
"1049","이제는 나도 진짜 다섯 시에 자는 게 아니라 다섯 시 일어나는 사람으로 한 번 바꿔보고 싶다는 생각을 혀.","이제는 나도 진짜 다섯 시에 자는 게 아니라 다섯 시 일어나는 사람으로 한 번 바꿔보고 싶다는 생각을 해."
"1050","솔직히 다섯 시에 자는 것도 그 사람들한테는 어려운 일이잖어.","솔직히 다섯 시에 자는 것도 그 사람들한테는 어려운 일이잖어."
"1051","그러니까 우리도 다섯 시에 일어나는 경험을 한 번 해보는 것도 괜찮을 것 같다고 생각 혀.","그러니까 우리도 다섯 시에 일어나는 경험을 한 번 해보는 것도 괜찮을 것 같다고 생각 해."
"1052","항상 늦게 나는 항상 거의 해 뜰 때 자는데 이제","항상 늦게 나는 항상 거의 해 뜰 때 자는데 이제"
"1053","열한 시에 자는 일도 한 번씩 하다 보면은 분명 사람은 적응의 동물이다 보니께","열한 시에 자는 일도 한 번씩 하다 보면은 분명 사람은 적응의 동물이다 보니까"
"1054","분명 할 수 있을 거라고 생각이 들어 조금만 노력 한다면","분명 할 수 있을 거라고 생각이 들어 조금만 노력 한다면"
"1055","((그래x)) 나는 진짜 나는 솔직히 말하면은 이번 년도 진짜 허투루 보낸 시간이","((그래x)) 나는 진짜 나는 솔직히 말하면은 이번 년도 진짜 허투루 보낸 시간이"
"1056","지금까지도 허투루 보내고 있었단 말여.","지금까지도 허투루 보내고 있었단 말이야."
"1057","그래서 그래서 진짜 너무 진짜 얼마 안 남았지만 알차게 보내는 경험을 봐도 진짜 뜻깊은 경험일 것 같어.","그래서 그래서 진짜 너무 진짜 얼마 안 남았지만 알차게 보내는 경험을 봐도 진짜 뜻깊은 경험일 것 같아."
"1058","내가 어디서 들었는데 그~ 사람이 삼십 일만 해도 그게 습관이 된다는 거여.","내가 어디서 들었는데 그~ 사람이 삼십 일만 해도 그게 습관이 된다는 거야."
"1059","그르고 우리가 졸 우리가 입학할 때 내가 들었던 것 중에 그~ {laughing} 교장 선생님이","그리고 우리가 졸 우리가 입학할 때 내가 들었던 것 중에 그~ {laughing} 교장 선생님이"
"1060","아~ 삼 년이라는 시간 동안 {laughing} 알차게 알차게 보내 보라고","아~ 삼 년이라는 시간 동안 {laughing} 알차게 알차게 보내 보라고"
"1061","그 삼 년이라는 시간이 뭐~ 이릏게 날짜로 환산 하므 요롷게 요롷게 어쩌고 저쩌고 하셨는데 내가 그걸 듣고","그 삼 년이라는 시간이 뭐~ 이렇게 날짜로 환산 하면 요롷게 요롷게 어쩌고 저쩌고 하셨는데 내가 그걸 듣고"
"1062","아~ 삼 년 동안 할 수 있는 게 (()) 많구나.","아~ 삼 년 동안 할 수 있는 게 (()) 많구나."
"1063","라고 생각을 했는데 우리는 쫌 알차게 보내지 못 했잖어?","라고 생각을 했는데 우리는 조금 알차게 보내지 못 했잖어?"
"1064","그러니까 우리 앞으로 그~ 이제 날 우리 뭐~","그러니까 우리 앞으로 그~ 이제 날 우리 뭐~"
"1065","여태까지 그릏게 알차게 살아오지 않았더라도","여태까지 그렇게 알차게 살아오지 않았더라도"
"1066","이제 알차게 살아오면 되는 알차게 살면 되는 거니까 앞으로 우리 한 번 해 보자구","이제 알차게 살아오면 되는 알차게 살면 되는 거니까 앞으로 우리 한 번 해 보자구"
"1067","나도 진짜 게으르지 않고 성실한 삶을 보내고 싶어.","나도 진짜 게으르지 않고 성실한 삶을 보내고 싶어."
"1068","왜냐면 내가 정말 후회 하는 게 내가 건강 관리도 정말 안 했고","왜냐하면 내가 정말 후회 하는 게 내가 건강 관리도 정말 안 했고"
"1069","다이어트도 하겠다는 말만 해놨지 (()) 제대로 실천한 적은 한 번도 없고 제대로 성공한 적도 한 번도 없기 때문에","다이어트도 하겠다는 말만 해놨지 (()) 제대로 실천한 적은 한 번도 없고 제대로 성공한 적도 한 번도 없기 때문에"
